"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Differential input";;;
2;"J3";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"3.3V Output";;;
3;"C1";"CP_Radial_D5.0mm_P2.50mm";1;"0.1u";;;
4;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6.8k";;;
5;"J4";"PinHeader_1x02_P1.27mm_Vertical";1;"Output";;;
6;"J2";"PinSocket_1x02_P1.27mm_Vertical";1;"3.3V Input";;;
7;"RG1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"270";;;
8;"RG2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"56";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"105k";;;
10;"Ina122";"DIP-8_W7.62mm";1;"~";;;
